A	B	C	set	pen
6734	6737	9183	2	2
15540	6351	6350	1	-1
15540	6351	6350	2	2
6357	6353	6352	1	-1
6357	6353	6352	2	2
6745	6744	13573	1	-1
6744	6745	9182	1	-1
6744	6745	9182	2	2
6745	6744	13573	2	2
6735	6737	13574	2	2
6737	6735	15533	1	-1
6737	6735	15533	2	2
7735	8938	8989	1	-1
9925	6736	13574	1	-1
6722	6715	7789	1	-1
13550	6754	9158	2	2
13562	6757	10424	2	2
13556	6760	6753	1	-1
6758	8077	9161	1	-1
6756	6755	6765	2	2
6397	8525	8526	2	2
6762	9162	9163	1	-1
6762	9162	9161	2	3
8530	6764	6395	1	-1
8530	6764	6395	2	2
6764	6395	8529	1	-1
6764	6395	8529	2	2
6395	6764	8528	1	-1
6395	6764	8528	2	2
6763	6762	6397	2	2
6397	6762	8524	1	-1
6762	6397	8525	1	-1
6397	6762	8524	2	2
6762	6397	8525	2	2
10424	6757	15525	1	-1
10424	6757	15525	2	2
6765	6755	15524	1	-1
6765	6755	15524	2	2
10421	6766	9159	2	2
6362	8094	8093	1	-1
6362	8094	8093	2	2
6761	8089	13551	2	2
6769	7780	13553	2	2
6728	8933	8931	2	2
15123	6777	15122	2	2
7846	6778	7900	1	-1
15297	6777	15123	2	2
15297	6777	15123	1	-1
6729	6779	6731	2	2
6712	6776	6781	1	-1
6712	6776	6781	2	2
6780	6779	6729	2	2
6776	6781	6713	1	-1
6781	6776	6774	1	-1
6781	6776	6774	2	2
6776	6781	6713	2	2
6774	6781	6776	1	-1
6774	6781	6776	2	2
6731	6779	6771	1	-1
6731	6779	6771	2	2
6771	6779	6780	2	2
15287	5255	9935	2	2
15235	6775	15236	1	-1
15235	6775	15236	2	2
6733	6332	9930	1	-1
6733	6332	9930	2	2
6306	6775	15235	2	2
6332	6775	6306	2	2
6775	6332	9256	1	-1
6775	6332	9256	2	2
13592	6793	13593	2	2
9236	6707	9253	2	2
9251	6707	9236	2	2
6796	6793	13592	2	2
6796	6793	9250	2	2
13597	6726	9932	2	2
6732	6789	13586	1	-1
6732	6789	13586	2	2
6307	6732	6733	2	2
6407	6798	10220	2	2
6799	6798	9229	1	-1
6788	6798	6407	2	2
9228	6798	6788	2	2
15806	6806	8610	1	-1
15806	6806	16664	1	-1
6804	6813	8573	2	2
6804	8573	6814	2	2
6815	6817	6816	1	-1
6816	6814	8573	2	2
6817	6368	6816	1	-1
8573	6813	6815	2	2
6310	6334	16665	1	-1
6849	6850	15643	1	-1
6835	6851	6837	1	-1
5346	6855	15723	1	-1
5346	6855	15723	2	2
15644	6851	15643	1	-1
6862	6335	9986	1	-1
6840	6847	8694	2	2
6847	6840	15728	2	2
6837	6851	15644	1	-1
6830	6314	8704	1	-1
6895	6894	7008	1	-1
6901	6893	9971	1	-1
;6901	6893	9971	2	2
6901	6893	9971	2	3
8661	6914	8863	1	-1
8661	6914	8863	2	2
6918	6960	7981	1	-1
6918	6960	7981	2	2
13602	6338	6305	1	-1
13602	6338	6305	2	2
13602	6338	9239	1	-1
13602	6338	9239	2	2
6338	6305	6921	1	-1
6338	6305	6921	2	2
6305	6338	6298	2	2
6305	6338	9239	2	2
6925	6924	6915	1	-1
9956	6939	6938	2	2
9931	6911	6948	2	2
6942	6943	6936	2	2
6943	6942	6944	2	2
6944	6935	15262	2	2
6935	6944	6946	2	2
6951	6331	15254	2	2
15232	6296	6954	2	2
6954	6296	6295	1	-1
6954	6296	6295	2	2
6921	6305	6306	2	2
6933	6945	6946	2	2
15265	6935	15266	2	2
15266	6935	6944	2	2
6936	6943	15225	2	2
6956	6957	6931	2	2
6956	6957	8861	1	-1
6938	6939	6958	2	2
6958	6939	6922	2	2
15224	6949	15222	2	2
6934	6943	6942	2	2
15225	6943	6934	2	2
6922	6939	9956	2	2
6922	6957	6956	2	2
6920	6962	15776	2	2
8006	6970	8625	2	2
6971	8619	8620	1	-1
6971	8619	8620	2	2
6965	6294	6971	1	-1
6965	6971	8619	2	2
15776	6962	15777	2	2
6974	6916	6917	2	2
7981	6960	7992	2	2
15773	8010	8624	2	2
6892	6926	6901	1	-1
8684	6932	8671	2	3
6932	8684	8683	1	-1
6925	6975	6988	2	2
16420	6975	6925	1	-1
6930	8672	8673	1	-1
6880	7981	7983	1	-1
6990	6975	16420	2	2
6999	6893	6901	1	-1
6999	6893	6901	2	3
6894	8618	8619	1	-1
15769	7011	15767	2	2
7015	6893	6999	2	3
7018	8603	8602	2	2
15853	8686	8692	1	-1
16363	7037	16362	2	2
15826	7037	16363	2	2
7035	7036	8631	1	-1
7036	8633	8632	1	-1
15759	7036	8631	1	-1
7140	9269	9267	1	-1
7220	7218	7118	1	-1
7207	7221	7217	1	-1
7209	7220	7219	1	-1
16298	7452	16300	2	2
16300	7452	9283	2	2
7454	7452	16298	2	2
5154	7528	7529	1	-1
7535	7534	7565	1	-1
7567	5831	7566	1	-1
7575	5202	7576	1	-1
7591	5813	5812	1	-1
7591	5813	5812	2	2
5784	7603	7604	1	-1
7606	7607	7608	1	-1
6544	5202	7579	2	2
7671	5896	5897	1	-1
7099	7675	7057	1	-1
7696	6001	6176	1	-1
10262	7702	10261	1	-1
7718	6010	6009	1	-1
9922	6198	15194	1	-1
9922	6198	15194	2	2
9922	6198	8554	1	-1
7723	6198	5940	1	-1
7723	6198	5940	2	2
7734	6727	7786	1	-1
7914	7734	7784	1	-1
7782	7735	7888	1	-1
7758	5323	7833	1	-1
6227	7761	15184	1	-1
6227	7761	15184	2	2
7786	7768	7764	1	-1
7786	7768	7764	2	2
7770	7772	6722	1	-1
7770	7772	6722	2	3
7771	7769	7787	1	-1
7771	7769	7787	2	3
7788	7771	7769	2	3
7789	7774	13570	1	-1
7789	7774	13570	2	2
7775	8045	8046	1	-1
7775	8045	8046	2	2
7776	8044	8043	1	-1
7776	8044	8043	2	2
7792	7779	7777	2	2
7781	7750	7736	1	-1
7786	6727	6723	1	-1
7789	6715	8047	1	-1
15335	5325	7838	1	-1
7798	7797	10444	2	2
7801	8506	8501	1	-1
7805	7809	7810	2	2
7806	7805	7809	2	2
7815	7816	15107	2	2
7818	7758	5323	1	-1
7819	7820	7835	1	-1
7819	7820	7835	2	2
7820	7835	7834	1	-1
7830	7829	8871	2	2
7833	5323	7759	1	-1
7834	7835	7821	1	-1
7835	7821	7822	1	-1
7835	7821	7822	2	2
6770	7843	7844	2	2
7847	7843	6770	1	-1
10264	7842	7859	2	2
7848	7847	10209	2	2
7842	7859	7840	1	-1
7842	7859	7840	2	2
7859	7842	8571	2	2
7838	5325	6234	1	-1
7838	5325	6234	2	2
15243	7845	15298	2	2
7869	7865	7864	2	2
5232	7869	7865	2	2
7870	7871	9052	2	2
7881	7877	8543	2	2
8544	7881	7877	2	2
7882	7883	7879	2	2
7883	7879	7878	2	2
15103	7885	15101	2	2
7886	7887	15100	2	2
7916	7889	8949	1	-1
7891	8992	8991	1	-1
7891	8992	8991	2	2
7896	7897	15111	2	2
7898	7899	15118	2	2
7900	7901	15301	1	-1
7900	7901	15301	2	2
7092	6778	7846	1	-1
7902	7903	8993	2	2
7903	8993	8994	1	-1
7903	8993	8994	2	2
7908	7736	7751	1	-1
7910	7892	7893	1	-1
7911	7737	7894	1	-1
7913	7765	7734	1	-1
7917	7891	7890	1	-1
7927	9033	15411	1	-1
7927	9033	15411	2	2
7929	8382	8383	1	-1
6503	6510	6506	1	-1
7957	6468	6530	1	-1
7957	6468	6530	2	2
7959	6592	6583	1	-1
7959	6592	6583	2	2
7962	6357	6356	2	2
7965	6313	7964	1	-1
7965	6313	7851	1	-1
7965	6313	8865	1	-1
6307	9240	9239	1	-1
6307	9240	9239	2	2
7980	6975	6988	1	-1
7980	6975	6990	2	2
6298	8003	13591	2	2
9970	8005	8014	1	-1
6962	8006	8626	2	2
8021	6307	8022	1	-1
6453	8026	10437	1	-1
6453	8026	10437	2	2
8027	8026	6453	1	-1
8027	8026	6453	2	2
6425	8028	8027	1	-1
6425	8028	8027	2	2
8028	8027	6421	1	-1
8028	8027	6421	2	2
8029	8030	6425	1	-1
8029	8030	6425	2	2
8030	8032	6410	1	-1
8030	8032	6410	2	2
6410	8031	8028	2	2
8033	8444	8445	1	-1
8033	8444	8445	2	2
8034	8441	8442	1	-1
8034	8441	8442	2	2
6716	8035	8036	1	-1
6716	8035	8036	2	2
8035	8036	6345	1	-1
8035	8036	6345	2	2
8036	9203	9176	1	-1
8036	9203	9176	2	2
8037	8038	6716	1	-1
8037	8038	6716	2	2
8038	9164	9196	1	-1
6721	8039	15531	1	-1
6721	8039	15531	2	2
8042	8041	7775	1	-1
8042	8041	7775	2	2
6714	8043	8042	1	-1
8044	7778	6708	1	-1
8044	7778	6708	2	2
8044	8043	6714	1	-1
8046	8047	6714	1	-1
8047	6715	7773	1	-1
8047	8048	7776	1	-1
8047	8048	7776	2	2
8051	6555	9097	2	2
8053	8052	6418	1	-1
8053	8052	6418	2	3
9874	8060	6437	2	2
8066	9122	9091	1	-1
8052	6418	6438	1	-1
8052	6418	6438	2	2
6437	8060	9100	1	-1
6437	8060	9100	2	2
8079	6608	8362	1	-1
8079	8359	8360	1	-1
8079	8359	8360	2	2
8081	6613	6609	2	2
6609	8082	8081	1	-1
6609	8082	8081	2	2
8082	8081	6613	1	-1
8082	8081	6613	2	2
8087	8109	6557	1	-1
8087	8109	6557	2	2
6761	8090	15517	2	2
8094	8093	6404	1	-1
8094	8093	6404	2	2
6404	8096	8095	1	-1
6404	8096	8095	2	2
8096	8095	6362	1	-1
8096	8095	6362	2	2
6365	8097	15489	2	2
6615	8100	9210	2	2
8100	9210	9165	1	-1
8100	9210	9165	2	2
6614	8101	8102	1	-1
6614	8101	8102	2	2
8101	8102	6612	1	-1
8101	8102	6612	2	2
8102	8105	6623	1	-1
8102	8105	6623	2	2
8103	8104	6614	1	-1
8103	8104	6614	2	2
8104	9209	9165	1	-1
8104	9209	9165	2	2
8107	8071	8357	1	-1
8107	8354	8351	1	-1
8108	8347	8352	1	-1
8108	8347	8352	2	2
6557	8110	10414	2	2
8086	6540	8087	1	-1
8123	8125	15700	1	-1
8133	8127	8131	1	-1
8757	8128	8132	1	-1
8131	8132	8133	1	-1
8154	5772	5777	1	-1
5296	5796	8166	1	-1
5780	8174	8173	1	-1
5780	8174	8173	2	2
8192	5791	5305	1	-1
8192	5791	5305	2	2
5298	8210	8211	1	-1
8213	5298	8212	1	-1
8219	8221	5222	1	-1
8221	8219	8220	2	2
8219	8221	5222	2	2
8219	8220	8221	1	-1
8220	8221	8219	1	-1
8220	8221	8219	2	3
5222	8219	8221	1	-1
5222	8219	8221	2	3
8221	5222	8219	1	-1
8222	5472	8223	1	-1
6115	8234	8980	2	2
8234	8980	8976	1	-1
8234	8980	8976	2	2
8235	8981	8972	1	-1
8236	8235	6118	1	-1
8236	8235	6118	2	2
6116	8237	15172	1	-1
6063	8238	15339	1	-1
8239	8238	6063	1	-1
15198	8239	6110	1	-1
15198	8239	6110	2	2
8240	8241	6110	1	-1
6063	8240	8241	1	-1
8242	8243	6048	1	-1
8242	8243	6048	2	2
6115	8244	8972	2	2
8244	8972	8981	1	-1
6011	8247	8246	1	-1
10454	6004	16069	2	2
6011	8248	10454	1	-1
6206	8248	6011	1	-1
8252	8254	8253	2	2
8253	8252	8254	1	-1
8254	8250	8253	1	-1
8254	8250	5471	1	-1
8254	8250	5471	2	2
8253	8254	8250	2	2
8254	8253	8252	2	2
8250	8253	8254	2	2
8261	5467	16325	1	-1
8261	5467	16325	2	3
8270	8265	8273	1	-1
8150	8264	8269	1	-1
8280	6540	8279	1	-1
8280	8279	6543	1	-1
8280	8279	6543	2	2
6545	8280	8279	1	-1
6545	8280	8279	2	2
8282	8281	6545	1	-1
8282	8281	6545	2	2
8286	8149	9069	2	3
8292	6675	9981	1	-1
8297	6632	6633	1	-1
10266	8291	10265	1	-1
8299	6666	8294	1	-1
8299	6666	8294	2	2
8312	8307	8308	1	-1
8318	8319	5872	2	2
8320	8319	8321	2	2
8321	8319	8318	2	2
8294	6632	8297	1	-1
8294	6632	8297	2	2
6291	8335	6696	1	-1
6291	8335	6696	2	3
6696	8335	8338	1	-1
8335	6696	6291	1	-1
6696	8335	8338	2	3
8336	6291	8335	1	-1
8337	8336	6696	1	-1
8337	8336	6696	2	3
8339	6699	6634	1	-1
8339	8291	6629	1	-1
8341	8291	10265	1	-1
5271	8391	5270	1	-1
8346	9135	9218	1	-1
8346	9135	9218	2	2
8344	6676	6392	1	-1
8344	6676	15475	1	-1
8344	6676	8144	1	-1
6392	8346	9135	2	2
8348	8108	6393	1	-1
8348	9220	9219	1	-1
8350	8349	8348	1	-1
8350	8349	8348	2	2
8351	8348	8108	1	-1
8352	8353	8107	1	-1
8352	8353	8107	2	2
8353	8356	8071	1	-1
8353	8356	8071	2	2
8354	8355	8350	1	-1
8354	8355	8350	2	2
8071	8356	15496	1	-1
8071	8356	15496	2	2
8071	8357	8354	1	-1
8357	8071	8079	1	-1
8357	8358	8355	1	-1
8357	8358	8355	2	2
8359	8360	6608	1	-1
8359	8360	6608	2	2
8360	8388	6616	1	-1
8360	8388	6616	2	2
8361	8357	8071	1	-1
8361	8079	6608	1	-1
8362	8361	8079	1	-1
8362	8364	8363	1	-1
8362	8364	8363	2	2
8364	8363	8361	1	-1
8364	8363	8361	2	2
6457	8365	10430	2	3
8366	8367	15580	1	-1
8366	8367	15580	2	3
8366	8386	6616	1	-1
6450	8368	9133	2	2
8369	8366	6457	1	-1
8369	8370	10433	2	2
8371	8376	6420	1	-1
8371	8376	6420	2	3
6448	8371	8376	1	-1
6448	8371	8376	2	3
8372	8369	6450	1	-1
8373	8370	8369	1	-1
8373	8370	8369	2	2
8374	8373	8372	1	-1
8374	8373	8372	2	3
8374	9031	9169	1	-1
8374	9031	9169	2	2
8375	8372	6448	1	-1
8375	8374	8373	1	-1
8375	8374	8373	2	3
8376	8377	6419	1	-1
6419	8377	15444	2	2
8378	8379	8374	2	2
8379	9032	9031	1	-1
8380	7929	6433	1	-1
8382	7928	8383	1	-1
8382	8383	6433	1	-1
8383	9055	9027	1	-1
8383	9055	9027	2	2
8384	8385	8381	2	2
8385	7927	8381	1	-1
8385	8381	8380	2	2
8386	8387	10431	2	2
6616	8388	10427	2	2
8344	8345	10443	1	-1
8344	8345	10443	2	2
6461	8393	6429	1	-1
8393	9056	9027	1	-1
8394	9057	9056	1	-1
8394	9057	9056	2	2
6396	8439	6394	1	-1
6396	8439	6394	2	2
6394	8439	9205	2	2
8440	8438	8437	1	-1
8440	8438	8437	2	2
8442	8443	8033	1	-1
8442	8443	8033	2	2
8445	8446	8034	1	-1
8445	8446	8034	2	2
8447	8449	8455	1	-1
8447	8449	8455	2	2
6456	8447	8449	1	-1
6456	8447	8449	2	2
6582	8450	8453	1	-1
8451	8454	8455	2	2
8451	8454	8455	1	-1
8452	8451	6582	1	-1
8452	8451	6582	2	2
8453	6590	6599	1	-1
8453	6590	6599	2	2
8454	8448	6456	1	-1
8454	8448	6456	2	2
8455	8449	8450	2	2
8455	8454	8448	1	-1
8455	8454	8448	2	2
8459	6571	9040	1	-1
8461	8481	8482	1	-1
8461	8481	8482	2	2
8466	7875	7874	1	-1
8466	8459	6580	1	-1
8477	8476	8471	2	2
8479	8478	8473	1	-1
8463	8483	8484	1	-1
8491	8496	8497	1	-1
8499	8500	8495	1	-1
8505	8504	8503	1	-1
8505	8504	8503	2	2
8508	8509	8510	1	-1
8508	8509	8510	2	2
8516	6359	6692	1	-1
8516	6359	6692	2	3
8528	8526	8525	2	2
8527	6395	6764	1	-1
8527	6395	6764	2	2
8531	6352	6353	2	2
8553	8554	8555	1	-1
15180	8556	6200	1	-1
15180	8556	6200	2	2
8559	5997	5998	1	-1
8559	5997	6222	1	-1
5997	6222	5995	1	-1
5997	6222	5995	2	2
8560	6062	6134	2	2
8567	6051	8566	1	-1
8568	8050	6730	1	-1
8568	8050	6730	2	2
8569	8049	6795	1	-1
8569	8049	6795	2	2
8570	7859	7842	1	-1
8570	7859	7842	2	2
8572	6805	6804	1	-1
8573	6814	8572	1	-1
8573	6814	8572	2	2
7017	8603	15786	2	2
6876	8604	6875	1	-1
6333	8611	6334	2	2
6334	8611	16666	1	-1
8613	6334	6310	2	2
8617	8618	6894	1	-1
8619	8620	6965	1	-1
